Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1847,8,26,,,,2,0,,0,,,,1,,2,,,,,,,,,ITALY,NAPLES
1847,8,27,,,,1,9,,0,,,,4,1,1.5,335,,,,,1,,,JAPAN,SANRIKU
1847,10,19,,,,2,1,,0,-31.61,-71.18,,1,,,,,,,,,,,CHILE,CENTRAL CHILE
1847,10,31,,,,3,1,,0,7.333,93.667,,1,,,,,,,,1,,,INDIA,LITTLE NICOBAR ISLAND
1848,6,,,,,1,0,,0,,,,0,,,,,,,,,,,RUSSIA,KAMCHATKA
1848,7,12,,,,2,1,,0,-17.9,-149.9,,2,,0.5,,,,,,1,,,FRENCH POLYNESIA,TAHITI
1848,9,24,,,,3,8,,0,52.616,-55.766,,4,,,,,,,,,,,CANADA,"FISHING SHIPS HARBOUR, NEWFOUNDLAND"
1848,10,15,14,10,,1,3,7.9,0,-41.9,173.6,0.3,3,-1,0.5,,,,,,1,,,NEW ZEALAND,COOK STRAIT
1848,10,17,4,10,,-1,1,6,0,,,,1,,0.5,,,,,,,,,NEW ZEALAND,COOK STRAIT
1848,10,18,17,33,,-1,1,6,0,,,,4,,,3,,,,,,,,NEW ZEALAND,WELLINGTON
1849,1,25,5,10,,3,1,7.5,0,14,143.3,6.1,7,1,2,,,,,,3,,,USA TERRITORY,"GUAM, MARIANA ISLANDS"
1849,9,28,9,,,4,1,,0,55,166,,4,,,,,,,,1,,,RUSSIA,KAMCHATKA
1849,11,17,10,10,,4,1,7.5,0,-29.95,-71.37,5,3,2.3,2.5,,,,,,1,,,CHILE,CENTRAL CHILE
1850,1,21,,,,2,0,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO
1850,5,16,,,,2,0,,0,,,,1,,,,,,,,,,,ITALY,LIVORNO
1850,7,20,,,,1,8,,0,39.5,142,2,0,1,0,,,,,,,,,JAPAN,SANRIKU
1850,10,20,,,,2,1,,0,,,,1,,,,,,,,,,,ITALY,LIVORNO
1850,,,,,,1,6,,0,20.6,134.8,,0,,,,,,,,,,,NORTHWEST PACIFIC OCEAN,PHILIPPINE SEA
1851,2,28,15,,,2,1,7.2,0,36.5,28.7,,0,,,,,,,,,,,GREECE,DODECANESE ISLANDS
1851,2,28,,,,3,1,7.2,0,35.5,28.7,0.9,1,-0.1,3,,,,,,,,,TURKEY,"FETIYE, ASIA MINOR"
1851,4,2,10,48,,-1,1,7.1,0,,,,0,,,,,,,,3,,,CHILE,CENTRAL CHILE
1851,4,3,,,,3,1,,0,,,,1,,3,,,,,,,,,TURKEY,ASIA MINOR
1851,5,4,,,,3,0,,0,-5,105,1.5,1,3.9,1.5,,,,,,,,,INDONESIA,LAMPUNG BAY
1851,5,15,16,10,,1,1,,0,37.8,-122.4,,2,,,,,,,,,,,USA,N. CALIFORNIA
1851,5,23,,,,2,0,,0,,,,0,,2,,,,,,,,,GREECE,KHALKI ISLET
1851,5,26,18,14,,2,1,7.2,0,-27.35,-70.35,3,2,1.6,2,,,,,,3,,,CHILE,NORTHERN CHILE
1851,7,28,18,33,,1,1,4.1,0,43.75,10.3,,1,,2,,,,,,,,,ITALY,LIGURIAN SEA
1851,10,12,6,,,2,1,6.6,0,40.5,19.7,0.66,1,-0.1,3,2000,,,,,4,,,ALBANIA,ALBANIAN COASTS
1851,11,13,2,51,,1,1,,0,,,,1,,,,,,,,,,,USA,"SAN FRANCISCO BAY, N. CALIFORNIA"
1851,12,16,,,,1,0,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO
1852,1,9,,,,3,1,6.5,0,-6.5,105.5,,1,,0.5,,,,,,1,,,INDONESIA,JAVA
1852,2,2,7,30,,2,6,,0,,,,0,,3,,,,,,,,,ITALY,LIVORNO
1852,5,12,2,,,2,1,,0,,,,1,,3,,,,,,,,,TURKEY,ASIA MINOR
1852,6,26,7,15,,2,1,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO
1852,7,17,,,,2,2,,0,20,-75.8,,1,,,,,,,,2,,,CUBA,SANTIAGO DE CUBA
1852,9,8,22,30,,3,1,,0,,,,0,,3,,,,,,,,,TURKEY,ASIA MINOR
1852,9,16,10,30,,2,1,7.5,0,14,120.5,,1,,1.5,3,,,1,,3,,,PHILIPPINES,W. LUZON ISLAND
1852,11,10,,,,-1,1,,0,,,,0,,,,,,,,,,,INDONESIA,BANDA SEA
1852,11,10,,,,2,1,,0,,,,0,,,,,,,,,,,ITALY,LIVORNO - LIGURIAN SEA
1852,11,11,0,0,,1,1,6.8,0,1.5,98,,3,,0,,,,,,,,,INDONESIA,"SIBOLGA, SUMATRA"
1852,11,16,,,,-1,1,,0,,,,0,,,,,,,,,,,INDONESIA,BANDA SEA
1852,11,19,,,,1,1,,0,-3.7,128.2,,1,,0,,,,,,,,,INDONESIA,"AMBON ISLAND, BANDA SEA"
1852,11,23,,,,-1,1,,0,,,,0,,,,,,,,,,,INDONESIA,BANDA SEA
1852,11,25,7,9,,1,1,,0,,,,1,,,,,,,,,,,USA,"SAN FRANCISCO, N. CALIFORNIA"
1852,11,25,22,40,,4,1,8.3,0,-5.25,129.75,8,22,3,2.5,60,,,,,3,,,INDONESIA,BANDA SEA
1852,11,27,,,,1,1,,0,-12.1,-77.1,,0,,,,,,,,,,,PERU,PERU
1852,11,29,,,,3,1,7,0,32.5,-115.5,3,1,,1,,,,,,,,,MEXICO,N. MEXICO
1852,12,4,,,,2,1,7,0,17,-100,,1,,0,1,,,,,3,,,MEXICO,S. MEXICO
1852,12,24,,,,1,1,7,0,-5,130.5,,7,,2,,,,,,1,,,INDONESIA,BANDANEIRA
1852,12,31,,,,2,0,,0,,,1.2,2,,,,,,,,,,,AUSTRALIA,TASMANIA
1853,4,8,17,50,,2,1,,0,,,,0,,,,,,,,,,,ITALY,TYRRHENIAN SEA -SALERNO
1853,7,15,,,,4,1,6.7,0,10.5,-64.2,5,4,,,1000,,,,,3,,,VENEZUELA,CUMANA
1853,8,18,8,30,,3,1,,0,38.25,23.5,,1,,3,17,,,,,2,,,GREECE,CENTRAL GREECE (EVOIKOS GULF)
1853,10,3,,,,2,1,,0,26.2,127.6,,1,,1,,,,,,,,,JAPAN,OKINAWA ISLAND
1853,10,29,,,,1,6,,0,24,121.83,,0,,,,,,,,,,,TAIWAN,E. TAIWAN-RYUKYU ISLANDS
1853,11,,,,,1,1,,0,47,152,,2,2,2,,,,,,,,,RUSSIA,S. KURIL ISLANDS
1853,12,11,16,15,,2,1,,0,,,1,1,,3,,,,,,,,,MONTENEGRO,DALMATIA - ADRIATIC SEA
1853,12,24,,,,1,1,,1,-21.167,-175.167,,2,,,,,,,,,,,TONGA,TONGATAPU ISLAND
1853,,,,,,4,8,,0,58.63,-137.57,120,1,4.3,4,,,,,,,,,USA,"LITUYA BAY, AK"
1854,1,4,,,,2,1,6,0,-3.5,128.6,,1,,0,,,,,,,,,INDONESIA,BANDA SEA
1854,1,15,,,,1,6,,0,20.9,134.8,,0,,,,,,,,,,,NORTHWEST PACIFIC OCEAN,PHILIPPINE SEA
1854,1,27,18,10,,3,3,,0,57,-152,2.4,2,,0.5,,,,,,,,,USA,"KODIAK ISLAND, AK"
1854,2,29,,,,1,0,,0,,,,0,,,,,,,,,,,FRANCE,LIGURIAN SEA
1854,5,31,12,59,,1,3,,0,34.4,-119.7,,1,,0,,,,,,,,,USA,S. CALIFORNIA
1854,6,27,,,,-1,1,7,0,51,158,,0,,2,,,,,,,,,RUSSIA,N. KURIL ISLANDS
1854,7,9,,,,4,6,,0,50.9,155.5,,0,,,,,,,,,,,RUSSIA,N. KURIL ISLANDS
1854,7,24,,,,2,0,,0,,,0.1,1,-1.7,-2,,,,,,,,,USA,S. CALIFORNIA
1854,8,4,,,,2,1,7.2,0,8.5,-83,,0,,1.5,,,,,,,,,COSTA RICA,COSTA RICA-PANAMA
1854,8,7,,,,2,3,7.2,0,8.5,-83,,1,,1.5,,,,,,3,,,COSTA RICA,COSTA RICA-PANAMA
1854,8,18,,,,2,0,,0,,,0.03,1,,,,,,,,,,,USA,S. CALIFORNIA
1854,9,27,,,,3,1,,0,0.8,127.4,,1,,0.5,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1854,10,4,18,19,,3,0,,0,,,0.03,1,,,,,,,,,,,USA,N. CALIFORNIA
1854,10,22,3,35,,2,1,,0,37.8,-122.4,,1,,0,,,,,,,,,USA,N. CALIFORNIA
1854,11,1,,,,-1,0,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1854,11,10,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,N. CALIFORNIA
1854,12,1,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,N. CALIFORNIA
1854,12,4,,,,1,0,,0,16.8,-99.2,,0,,,,,,,,,,,MEXICO,S. MEXICO
1854,12,23,0,0,,4,1,8.3,1,34,137.9,21,72,4,3,1000,,,,,4,8900,,JAPAN,ENSHUNADA SEA
1854,12,24,8,0,,4,1,8.4,0,33.1,135,28,81,4,2.5,3000,,,,,4,20000,,JAPAN,NANKAIDO
1854,12,29,2,45,,2,1,,0,43.8,7.9,,2,,,,,,,,2,,,FRANCE,LIGURIAN SEA
1855,1,23,9,,,3,1,8,3,-41.25,175,11,29,3.2,3,,,,,,3,,,NEW ZEALAND,NORTHERN ISLAND
1855,2,3,,,,4,1,,0,-41.93,174.09,,1,,,,,,,,,,,NEW ZEALAND,WHARANUI
1855,2,11,12,0,,2,3,5.5,0,-39.2,177.6,,1,,,,,,,,,,,NEW ZEALAND,
1855,2,13,,,,2,1,,0,,,,0,,3,,,,,,,,,TURKEY,ASIA MINOR
1855,2,17,,,,2,0,,0,,,10,1,1.6,,,,,,,,,,PORTUGAL,AZORES
1855,3,20,0,30,,1,1,6,0,40.75,-124.2,,1,,0,,,,,,,,,USA,N. CALIFORNIA
1855,4,14,,,,3,0,,0,-9,121,,1,,1,,,,,,1,,,INDONESIA,FLORES ISLAND
1855,5,18,14,,,2,0,,0,,,,1,,3,,,,,,,,,FRANCE,LIGURIAN SEA  - NICE
1855,7,11,4,15,,3,3,6,0,34.1,-118.1,,1,,0,,,,,,2,1,26,USA,S. CALIFORNIA
1855,8,11,9,15,,1,1,,0,-33,-71.7,,0,,0,,,,,,,,,CHILE,CENTRAL CHILE
1855,9,25,,,,1,1,,0,15.91,-85.96,,1,,,,,,,,3,,,HONDURAS,TRUJILLO
1855,10,22,3,45,,1,1,,0,37.8,-122.4,,1,,0,,,,,,,,,USA,N. CALIFORNIA
1855,11,7,,,,4,1,7,0,34.5,137.6,3,6,1,,,,,,,1,,,JAPAN,ENSHUNADA
1855,11,11,,,,4,1,7,0,35.65,139.8,,2,,,6757,,,,,4,50000,,JAPAN,TOKAIDO
1855,12,3,,,,1,1,7,0,32.5,134.5,,0,,,,,,,,,,,JAPAN,NANKAIDO
1855,,,,,,0,1,4.8,0,29.2,108.1,3,1,,,,,,,,,,,CHINA,SICHUAN PROVINCE
1856,1,6,,,,1,0,,0,,,10,0,,,,,,,,1,,,PORTUGAL,AZORES
1856,2,15,13,25,,3,3,5.5,0,37.5,-122.3,0.6,1,,-1,,,,,,1,,,USA,N. CALIFORNIA
1856,3,2,,,,4,6,,1,3.67,125.5,,2,1,1,2806,,,,,3,,,INDONESIA,SANGIHE ISLAND
1856,3,,,,,3,0,,0,-44,172,1,2,,0.5,,,,,,,,,NEW ZEALAND,"S CANTERBURY PROVINCE, SOUTH ISLAND"
1856,7,25,,,,2,1,,0,-8.5,116,,1,,0,,,,,,,,,INDONESIA,JAVA-FLORES SEA
1856,7,26,,,,1,6,,0,54.6,-165,,1,,,,,,,,,,,USA,"UNIMAK ISLAND, AK"
1856,8,4,,,,4,3,7.5,1,16,-88,5,5,,,,,,,,3,,,HONDURAS,BAY OF HONDURAS
1856,8,21,21,45,,3,1,,0,37.1,5.7,3.75,5,,4,5,,,,,1,,,ALGERIA,SEA OF ALBORAN
1856,8,22,11,40,,3,1,,0,37.1,5.7,5,4,,4,8,,,,,2,,,ALGERIA,SEA OF ALBORAN
1856,8,23,4,30,,4,1,8,1,40.5,143.5,6,33,2.6,2,26,,,,,2,193,238,JAPAN,SE. HOKKAIDO ISLAND
1856,9,,,,,2,9,,0,35.6,139.7,,1,,0,,,,,,,,,JAPAN,TOKYO BAY
1856,10,12,0,45,,2,1,8.3,0,35.5,26,,1,,3,538,,,,,3,8000,,GREECE,CRETE
1856,11,13,,,,3,1,6.6,0,38.5,26.25,,1,,3,,,,,,2,,,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS"
1857,1,6,,,,0,1,,0,4.9,31.7,,0,,,,,,,,1,,,SUDAN,NILE RIVER
1857,4,17,,,,4,3,8,0,-5.5,147,,5,,1.5,,,,,,2,,,PAPUA NEW GUINEA,BISMARCK SEA
1857,5,13,,,,4,1,7,0,-8,115.5,3.4,4,1.6,2,36,,,,,2,,,INDONESIA,BALI SEA
1857,5,23,9,,,2,1,,0,36.5,1.3,,1,,,,,,,,,,,ALGERIA,SEA OF ALBORAN
1857,7,13,22,,,4,1,6.4,0,34.8,138.3,,1,,,,,,,,1,,,JAPAN,TOKAIDO
1857,9,17,22,,,0,1,,0,40.2,29,,1,,,,,,,,2,,,TURKEY,MARMARA SEA
1857,11,17,,,,3,1,,0,1.35,125.2,,2,,1.5,,,,,,2,,,INDONESIA,"KEMA, SULAWESI I, N. MOLUCCAS IS"
1857,11,18,,,,2,1,,0,1.35,125.2,,1,,0,,,,,,,,,INDONESIA,"KEMA, SULAWESI I, N. MOLUCCAS IS"
1858,1,31,,,,2,0,,0,,,,1,,,,,,,,,,,AUSTRALIA,TASMAN SEA
1858,2,21,9,2,,1,1,6.5,0,37.9,22.9,,0,,,,,,,,,,,GREECE,GULF OF CORINTH
1858,4,24,11,15,,2,1,6.5,0,-30,-71.4,,1,1,1,,,,,,,,,CHILE,CENTRAL CHILE
1858,6,5,,,,2,0,,0,51.03,1.61,2.4,2,,,,,,,,,,,UK,"DOVER STRAITS, ENGLAND"
1858,8,6,,,,-1,9,,0,,,,0,,,,,,,,,,,NEW ZEALAND,
1858,9,15,,,,2,0,,0,,,,0,,0.5,,,,,,,,,NEW ZEALAND,SE. NEW ZEALAND
1858,9,,,,,1,1,,0,26.2,127.5,,1,,,,,,,,,,,JAPAN,RYUKYU ISLANDS
1858,12,13,,,,2,1,7.3,0,1,126,,9,2,1.5,,,,,,3,,,INDONESIA,N. MOLUCCAS ISLANDS
1859,6,28,,,,4,1,7,0,1,126.5,10,4,3.2,3,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1859,7,20,,,,3,1,,0,-4.6,129.9,,1,,0,,,,,,,,,INDONESIA,"LONTOR ISLAND, BANDA SEA"
1859,7,29,,,,4,1,7.3,0,0.009,125.5,1,5,1,1.5,,,,,,2,,,INDONESIA,N. MOLUCCAS ISLANDS
1859,8,21,11,55,,1,1,6.9,0,40.2,25.8,,1,,3,,,,,,2,,,TURKEY,IMROZ - AEGEAN SEA
1859,8,25,,,,3,1,6.2,0,13.33,-87.81,,1,1,1.5,,,,,,1,,,EL SALVADOR,EL SALVADOR
1859,9,24,,,,2,0,,0,,,4.6,1,2.2,0,,,,,,1,,,USA,"HALF MOON BAY, N. CALIFORNIA"
1859,9,25,,,,2,1,6.8,0,-5.5,130.5,,2,1,0.5,,,,,,,,,INDONESIA,BANDA SEA
1859,10,5,12,0,,4,1,7.6,0,-27.35,-70.35,6,1,2.5,2.5,10,,,,,2,339,,CHILE,NORTHERN CHILE
1859,10,11,,,,-1,1,,0,,,,0,,,,,,,,,200,,CHILE,N. CENTRAL CHILE
1859,10,20,,,,2,1,,0,-9,111,,1,,1,2,,,,,1,,,INDONESIA,SOUTH OF JAVA
1859,10,20,,,,1,0,,0,,,,1,,2,,,,,,,,,GREECE,PIREAUS
1859,10,26,,,,-1,0,,0,,,,0,,,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1859,11,22,,,,2,1,,0,-40.85,145.32,,1,,,,,,,,,,,AUSTRALIA,TASMANIA
1859,12,9,2,0,,3,1,7,0,13.7,-89.8,,1,1,1.5,,,,,,3,,,EL SALVADOR,EL SALVADOR
1859,12,17,,,,2,1,,0,0.9,124.9,,1,,0,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1859,12,25,,,,3,0,,0,1.37,125.1,,1,,1,,,,,,,,,INDONESIA,N. MOLUCCAS ISLANDS
1860,1,6,,,,2,1,,0,,,,0,,2,,,,,,,,,SPAIN,SEA OF ALBORAN
1860,3,17,,,,1,0,,0,16.7,-99.2,,1,,,,,,,,,,,MEXICO,S. MEXICO
1860,4,8,,,,4,1,7.5,0,18.52,-73.35,,4,,,,,,,,,,,HAITI,ANSE-A-VEAU
1860,4,23,,,,3,1,,0,-12.1,-77.1,,1,,0,,,,,,3,,,PERU,CENTRAL PERU
1860,8,,,,,1,1,,0,1.3,121,,1,,0,,,,,,,,,INDONESIA,SULAWESI-N. MOLUCCAS ISLANDS
1860,10,6,,,,3,1,,0,-1.25,128.5,,1,,0,,,,,,,,,INDONESIA,CERAM SEA
1860,12,1,,,,2,0,,0,,,3.6,4,1.8,1.5,,,,,,1,,,USA,HAWAII
1861,2,16,,,,4,1,8.5,0,-1,97.5,7,17,,3,1105,,,,,2,,,INDONESIA,SW. SUMATRA
1861,2,21,,,,0,1,,0,,,,1,,,,,,,,,,,INDONESIA,WANAIDJAS
1861,3,9,,,,4,1,7,0,0.009,98,,4,,2,950,,,,,3,96,,INDONESIA,SW. SUMATRA
1861,3,20,,,,-1,1,,0,,,,0,,,,,,,,,,,CHILE,SC. CHILE
1861,3,,,,,2,0,,0,-3.7,128.2,1.8,1,,1,,,,,,1,,,INDONESIA,BANDA SEA
1861,4,26,,,,4,1,7,0,1,97.5,,1,,1.5,,,,,,,,,INDONESIA,SW. SUMATRA
1861,5,4,,,,-1,11,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1861,5,5,,,,-1,11,,0,,,,1,,,,,,,,,,,USA,N. CALIFORNIA
1861,6,5,,,,2,0,,0,-6.3,107.3,,2,1,1,,,,,,1,,,INDONESIA,JAVA
1861,6,17,,,,3,1,6.8,0,1,97.5,,1,,0.5,,,,,,,,,INDONESIA,SW. SUMATRA
1861,9,25,,,,3,1,6.5,0,-1.5,100,,1,,1.5,,,,,,1,,,INDONESIA,SW. SUMATRA
1861,10,20,17,30,,4,1,7.4,0,38.5,142,3.9,4,2,2,,,,,,2,70,,JAPAN,OFF MIYAGI
1861,12,26,,,,4,3,7.3,0,38.2,22.2,2.1,6,1.1,4,,,,,,2,,,GREECE,CORINTH GULF
1862,1,1,8,45,,3,1,,0,38.25,22.25,,0,,2,,,,,,1,,,GREECE,IONIAN SEA
1862,1,28,,,,2,9,,0,,,,1,,1,,,,,,1,,,USA,HAWAII
1862,3,4,9,30,,1,1,6,0,14.5,121,,0,,0.5,,,,,,1,,,PHILIPPINES,W. LUZON ISLAND
1862,3,18,,,,2,1,,0,,,,1,,,,,,,,,,,FRANCE,LIGURIAN SEA
1862,4,8,,,,-1,0,,0,-6.7,108.57,2.1,1,1.1,,,,,,,,,,INDONESIA,"CHERIBON DISTRICT, JAVA"
1862,5,27,20,0,,4,3,5.9,0,32.7,-117.2,1.2,1,0.3,,,,,,,,,,USA,S. CALIFORNIA
1862,7,10,,,,2,1,6.5,0,7,0.4,,1,,,3,,,,,3,,,GHANA,GOLD COAST
1862,11,24,,,,2,0,,0,,,,0,,,,,,,,,,,ITALY,GULF OF GENOVA
1863,3,16,,,,1,1,,0,-6.1,106.7,,1,,0,,,,,,,,,INDONESIA,JAVA
1863,4,22,20,30,,2,1,7.8,0,36.5,28,,0,,,300,,,,,3,2050,,GREECE,AEGEAN SEA
1863,6,3,11,20,,2,1,6.5,0,14.5,121,,1,1,1,400,,,2000,,4,1172,,PHILIPPINES,W. LUZON ISLAND
1863,8,17,,,,2,1,7.5,0,-19,168.5,,1,,1,,,,,,,,,VANUATU,VANUATU ISLANDS
1863,9,20,,,,3,1,6.4,0,44.6,141.5,,1,,0,,,,,,,,,JAPAN,NW. HOKKAIDO ISLAND
1863,,,,,,1,0,,0,,,,0,,,,,,,,,,,CANADA,NEWFOUNDLAND
1864,2,16,,,,-1,1,,0,,,,0,,,,,,,,,,,INDONESIA,SW. SUMATRA
1864,5,19,,,,1,1,,0,18.2,-72.53,,0,,,,,,,,2,,,HAITI,JACMEL
1864,5,23,,,,3,1,7.8,0,-1,135,3,2,3.6,1.5,250,,,,,3,,,INDONESIA,NW. IRIAN JAYA
1864,6,27,22,30,,3,1,,0,46.5,-53.7,,1,,,,,,,,,,,CANADA,"SW AVALON PENINSULA, NEWFOUNDLAND"
1865,1,8,,,,3,1,,0,-12,-77.1,2,1,1,1.5,5,,,,,1,,,PERU,CENTRAL PERU
1865,3,1,,,,2,1,,0,,,,1,,0.5,,,,,,,,,PERU,CALLAO
1865,3,1,,,,1,0,,0,26.2,127.5,,1,,0.5,,,,,,,,,JAPAN,RYUKYU ISLANDS
1865,7,16,3,0,0,1,1,,0,54,-167,,1,,,,,,,,,,,USA,"UNALASKA ISLAND, AK"
1865,10,4,,,,-1,0,,0,37,-122,,1,,,,,,,,,,,USA,"SAN FRANCISCO, CA"
1865,10,8,20,46,,3,3,6.3,0,37.2,-121.9,,1,,0.5,,,,,0.5,1,,,USA,N. CALIFORNIA
1865,10,13,,,,-1,0,,0,,,,0,,,,,,,,,,,PHILIPPINES,SULU SEA
1865,10,19,,,,2,1,6,0,13.25,123.5,,1,,0,,,,,,2,223,,PHILIPPINES,PHILIPPINES
1865,11,18,,,,4,1,8,0,-19.5,-173.5,1.25,4,,3,,,,,,1,20,,TONGA,TONGA ISLANDS
1865,11,28,,,,1,0,,0,-12.08,-77,,1,,1,,,,,,1,,,PERU,CENTRAL PERU
1866,1,2,,,,3,1,6.6,0,40.3,19.4,,1,,4,60,,,,,,,,ALBANIA,ALBANIAN COASTS
1866,1,6,,,,3,0,,0,,,,0,,3,,,,,,,,,ALBANIA,ALBANIAN COASTS
1866,1,19,,,,2,1,6.8,0,38.25,26.2,,0,,3,,,,,,,,,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS"
1866,1,31,,,,1,4,6.1,0,36.4,25.3,,1,,,,,,,,2,52,,GREECE,THERA ISLAND (SANTORINI)
1866,2,2,,,,2,1,6.4,0,38.4,26,,0,,3,,,,,,1,,,GREECE,"E. SPORADES ISLANDS, AEGEAN ISLANDS"
1866,2,6,,,,3,1,6.8,0,36,23,8.6,1,,4,,,,,,3,,,GREECE,"S. COASTS PELOPONNESUS, GREECE"
1866,3,2,15,30,,2,1,6.3,0,40.4,19.5,,1,,3,60,,,,,1,12,,ALBANIA,ALBANIAN COASTS
1866,3,6,,,,3,1,6.3,0,40.4,19.4,,2,,4,,,,,,,,,ALBANIA,BAY OF VLORE
1866,3,13,,,,2,1,5.5,0,40.5,19.5,,0,,3,,,,,,,,,ALBANIA,ALBANIAN COASTS
1866,8,9,,,,1,0,,0,-33.8,151.3,,0,,-1,,,,,,,,,AUSTRALIA,SYDNEY HARBOR
1866,8,15,,,,1,0,,0,-33.8,151.3,,0,,-1,,,,,,,,,AUSTRALIA,SYDNEY HARBOR
1866,9,5,13,0,0,2,1,,0,58,-152,,1,,,,,,,,,,,USA,"KODIAK ISLAND, AK"
1866,9,12,,,,1,6,,0,-14.214,-169.59,,1,,,,,,,,,,,USA TERRITORY,"MANUA ISLANDS, AMERICAN SAMOA"
1866,10,,,,,1,1,,0,,,,0,,,,,,,,,,,GREECE,MIRTOON SEA
1866,12,20,,,,-1,9,,0,,,,1,,,,,,,,,,,USA,"PORT TOWNSEND, WA"
1867,2,4,,,,3,1,7.4,0,38.39,20.52,,0,,2,,,,,,,,,GREECE,IONIAN SEA
1867,3,7,,,,3,1,7,0,39.2,26.4,,1,,2,563,,3,,,3,5915,5500,GREECE,LESBOS
1867,3,15,18,,,0,1,,0,46,8.7,,0,,,16,,,,,1,7,,ITALY,LAKE MAGGIORE
1867,4,10,,,,2,0,,0,,,,0,,2,,,,,,,,,GREECE,LIXOURI
1867,5,7,10,,,4,1,,0,58.667,6.167,,0,,3,,,,,,,,,NORWAY,WESTERN NORWAY
1867,6,10,,,,1,1,,0,-7.8,110.4,,0,,,5,,,,,3,372,,INDONESIA,JAVA
1867,8,5,,,,1,0,,0,-33.8,151.3,,0,,-1,,,,,,,,,AUSTRALIA,SYDNEY HARBOR
1867,9,20,3,15,,4,1,7.1,0,36.4,22.2,6,24,,4,,,,,,2,,,GREECE,"PELOPONNESUS, GREECE"
1867,9,,,,,1,1,7.5,0,10.9,-64.1,,2,,,,,,,,,,,VENEZUELA,ISLA DE MARGARITA
1867,10,4,,,,2,1,,0,,,,0,,,,,,,,,,,GREECE,IONIAN SEA
1867,11,18,18,45,,4,1,7.5,3,18.1,-65.1,15.2,61,2.3,,24,,,,,4,,,USA TERRITORY,VIRGIN ISLANDS
1867,11,19,21,,,1,0,,0,,,,0,,,,,,,,,,,GREECE,AEGEAN SEA
1867,12,18,,,,4,1,7,1,25.34,121.91,15,12,2,2,580,,,,,2,,,TAIWAN,E. CHINA SEA
1868,3,17,11,37,0,3,1,,0,18.1,-65.1,1.5,6,-0.7,,,,,,,,,,USA TERRITORY,VIRGIN ISLANDS
1868,4,3,2,24,,4,1,7.9,1,19,-155.5,13.7,28,4.3,3.5,77,,,,,2,,,USA,HAWAII
1868,4,4,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1868,4,10,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1868,4,20,,,,-1,0,,0,,,,0,,,,,,,,,,,USA,HAWAII
1868,4,23,,,,1,0,,0,,,,0,,,,,,,,,,,UK,SW ENGLAND
1868,5,15,,,,2,1,,0,55,-161,6.1,1,,2.5,,,,,,,,,USA,"SHUMAGIN ISLANDS, AK"
1868,5,22,,,,3,1,,0,45.7,10.7,,0,,,,,,,,,,,ITALY,LAKE GARDA
1868,5,25,,,,2,1,,0,16.8,-99.2,,1,,,,,,,,,,,MEXICO,S. MEXICO
1868,6,13,,,,-1,0,,0,,,,1,,,,,,,,,,,USA,S. CALIFORNIA
1868,8,11,,,,-1,0,,0,,,,0,,,,,,,,,,,PERU,PERU-NORTHERN CHILE
1868,8,12,,,,3,1,,0,16.8,-99.9,,1,,,,,,,,,,,MEXICO,S. MEXICO
1868,8,13,21,30,,4,1,8.5,1,-18.6,-71,18,123,4.2,3.5,25000,,,,300,4,,,CHILE,NORTHERN CHILE
1868,8,13,,,,2,1,8.5,0,10.7,-63.1,,3,,,,,,,,,,,VENEZUELA,RIO CARIBE
1868,8,14,1,30,,4,1,8.5,0,-18.6,-71,0.17,1,,,,,,,,,,,CHILE,NORTHERN CHILE
1868,8,19,,,,3,0,,0,11.67,92.73,4,1,2,,,,,,,2,,,INDIA,ANDAMAN ISLANDS
1868,9,5,2,,,2,4,,0,37.6,15.133,,0,,,,,,,,,,,ITALY,CALABRIAN ARC
1868,9,14,,,,2,1,,0,-36.7,-73.2,1,1,,0.5,,,,,,,,,CHILE,CENTRAL CHILE
1868,10,2,7,30,,2,0,,0,,,6.1,1,3.2,,,,,,,,,,USA,HAWAII
1868,10,2,,,,2,1,,0,-17,-72.5,,1,,0.5,,,,,,1,,,PERU,S. PERU
1868,10,16,,,,2,1,,0,-33.1,-71.7,1,1,,0.5,,,,,,,,,CHILE,CENTRAL CHILE
