Year,Mo,Dy,Hr,Mn,Sec,Tsunami_Event_Validity,Tsunami_Cause_Code,Earthquake_Magnitude,Deposits,Latitude,Longitude,Maximum_Water_Height,Number_of_Runups,Tsunami_Magnitude,Tsunami_Intensity,Total_Deaths,Total_Missing,Total_Missing_Description,Total_Injuries,Total_Damage,Total_Damage_Description,Total_Houses_Destroyed,Total_Houses_Damaged,Country,Location_Name
1816,12,20,,,,-1,8,,0,,,,1,1,1,,,,,,,,,JAPAN,"W. IZU PENIN., JAPAN"
1817,1,1,,,,1,1,,0,,,,0,,,,,,,,,,,GREECE,IONIAN SEA
1817,1,8,,,,0,1,,0,39.95,-75.1,0.3,1,,,,,,,,,,,USA,"PHILADELPHIA, PENNSYLVANIA"
1817,1,14,3,30,,1,1,,0,37.5,13,,1,,3,,,,,,,,,ITALY,SICILY CHANNEL
1817,8,23,8,,,3,1,6.8,0,38.3,22.1,5,2,,3,,,,,,,,,GREECE,CORINTHOS-PATRAS GULF
1818,1,,,,,1,1,,0,,,,1,,,,,,,,,,,GREECE,ATHENS
1818,2,20,18,15,,4,1,6,0,37.6,15.133,,1,,3,72,,,,,,,,ITALY,EASTERN SICILY
1818,2,23,18,10,,2,1,5.6,0,43.917,8.033,,3,,3,,,,,,,,,ITALY,LIGURIA-COTE D'AZUR
1818,3,18,,,,3,3,7,0,-4,101.5,,1,,1.5,,,,,,1,,,INDONESIA,"BENGKULU, SUMATRA"
1818,11,8,,,,2,1,8.5,0,-7,117,3.5,1,,2,,,,,,2,,,INDONESIA,BALI SEA
1818,12,9,,,,2,1,,0,44.75,10.4,,1,,3,,,,,,,,,ITALY,GENOA
1819,1,8,11,30,,2,1,,0,43.7,8,,1,,3,,,,,,,,,ITALY,GENOA
1819,4,12,3,0,,4,1,8.5,0,-27,-71.5,4,10,2,2,,,,,,3,,,CHILE,NORTHERN CHILE
1819,6,16,,,,3,1,7.7,0,23,71,,1,,,1543,,,,,4,1547,,INDIA,KUTCH
1819,8,31,,,,3,1,5.8,0,66.416,12.85,,1,,,,,,,,1,,,NORWAY,NORWAY:  RANA REGION: LUROY
1819,,,,,,2,6,,0,19.67,145.4,,1,1,1,,,,,,,,,USA TERRITORY,"ASUNCION ISLAND, N. MARIANA ISLANDS"
1820,3,1,,,,2,6,,0,54.52,-164.65,,1,,0.5,,,,,,,,,USA,"E. ALEUTIAN ISLANDS, AK"
1820,3,17,,,,-1,1,6.6,0,38.8,20.8,,1,,,,,,,,,,,GREECE,ISLAND OF LEVKAS
1820,5,4,,,,4,1,7.6,0,17.2,-99.6,4,1,1,1.5,,,,,,3,,,MEXICO,S. MEXICO
1820,7,23,,,,2,0,,0,,,,1,,3,,,,,,,,,ITALY,GENOA
1820,12,29,,,,2,1,6.9,0,37.75,21.25,,1,,3,8,,,,,1,79,,GREECE,ISLAND OF ZAKYNTHOS
1820,12,29,,,,4,1,7.5,0,-7,119,25,7,4,3.5,500,,,,,2,,,INDONESIA,FLORES SEA
1820,,,,,,3,8,,0,48.06,-122.36,,2,,,,,,,,,,,USA,"CAMANO ISLAND, WA"
1820,,,,,,2,1,6.2,0,-4.5,11.6,,2,,,,,,,,1,,,CONGO,GOLD COAST
1821,1,6,,,,4,1,6.5,1,37.8,21.3,,1,,,,,,,,,,,GREECE,IONIAN SEA
1821,4,10,,,,1,0,,0,10.1,-83.3,,1,,,,,,,,,,,COSTA RICA,LA MATINA
1821,5,,,,,2,1,,0,-15.95,-5.7,,1,,,3,,,,,1,,,UK TERRITORY,ST HELENA
1821,9,3,,,,1,9,,0,38.083,-75.208,,2,,,,,,,,,,,USA,"ASSATEAGUE ISLAND, VA"
1821,,,,,,-1,0,,0,-8.456,118.723,,0,,,,,,,,,,,INDONESIA,FLORES SEA: BIMA
1822,3,20,,,,1,1,,0,,,,0,,,,,,,,,,,LEBANON,BEIRUT
1822,4,10,,,,1,1,,0,37.45,14.25,,0,,,,,,,,,,,ITALY,CALABRIAN ARC
1822,5,7,,,,3,1,7.6,0,10.1,-83.3,,3,,,,,,,,2,,,COSTA RICA,MATINA
1822,8,13,20,,,2,1,7.1,0,36,36,,3,,3,8000,,,,,4,,,TURKEY,ANTIOCHIA
1822,11,20,2,30,,4,1,8.5,0,-33,-72,3.6,6,1.8,2,72,,,200,,4,,,CHILE,CENTRAL CHILE
1823,3,5,17,37,,2,1,,0,38.3,14.8,,2,,5,,,,,,,,,ITALY,PALERMO
1823,5,30,,,,0,1,,0,42.7,-79,2.74,1,,,,,,,,,,,USA,LAKE ERIE
1823,8,20,,,,2,1,,0,,,,2,,4,,,,,,,,,CROATIA,DUBROVNIK
1823,9,9,,,,2,1,6.8,0,-6.5,108.5,0.3,1,,-1.5,,,,,,,,,INDONESIA,JAVA
1823,10,,,,,-1,1,,0,,,,2,,,,,,,,,,,CROATIA,ADRIATIC SEA
1823,11,30,,,,4,1,,0,14.4,-61,,1,,,,,,,,,,,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE
